detection_id,start_time,end_time,delta_time
{'-OJYrlYUuSUoIeoVoCso'},58703.02,59389.83,686.81
{'-OJYu4p2runmLx8CUKl8'},12303.87,13312.58,1008.71
{'-OJYuMJcp0B_jhzARI3Q'},18634.26,19344.14,709.88
{'-OJYuTv-H3q47vtz370G'},49968.05,50459.44,491.39
{'-OJYuaF6N2syTiAK0UI2'},79993.74,80498.54,504.80
{'-OJYuh_v_OgH2DXiRok9'},110024.39,110799.49,775.11
{'-OJYvVthVHNcMyK9SzDq'},15085.57,15734.73,649.16
{'-OJYvcBYjU1u9aBzUMzQ'},45165.23,45607.96,442.73
{'-OJYvyc81OQNeJddZEzG'},136366.11,137605.39,1239.28
{'-OJYw4rRh0yEmMFPV7GG'},166684.86,167136.55,451.69
