id,title,body,detection_date,detection_time,status,timestamp_date,timestamp_time
-OJZAXGZCtA9lqD0uRbe,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.76,2025-02-20,11:25:59.480026,new,2025-02-20,11:25:59.480059
-OJZAi_b_WmAdxbujXjn,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,11:26:50.138218,new,2025-02-20,11:26:50.138244
-OJZAvPzYHuuS9Yy-7Zw,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.78,2025-02-20,11:27:42.640305,new,2025-02-20,11:27:42.640318
-OJZB7glW1kp-wPcB8Ug,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,11:28:37.091532,new,2025-02-20,11:28:37.091553
-OJZBK-9ivTlfCTioHy6,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.85,2025-02-20,11:29:27.495494,new,2025-02-20,11:29:27.495507
-OJZBWuXSzTXnJ1H8aaQ,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.77,2025-02-20,11:30:20.385087,new,2025-02-20,11:30:20.385108
-OJZBy3XcnUAXhGLTn9S,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.79,2025-02-20,11:32:15.235767,new,2025-02-20,11:32:15.235801
-OJZCAN_MoWrfr1pLAw0,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.87,2025-02-20,11:33:10.239098,new,2025-02-20,11:33:10.239112
-OJZCQRIJyCeGpPD1st_,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.84,2025-02-20,11:34:16.024703,new,2025-02-20,11:34:16.024720
-OJZCfeTZ2eGow580RY-,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,11:35:22.387647,new,2025-02-20,11:35:22.387688
-OJZCuMYWBnMzV7fJjGO,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,11:36:22.687026,new,2025-02-20,11:36:22.687040
-OJZD5elyPI31bgpXknc,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.72,2025-02-20,11:37:13.087551,new,2025-02-20,11:37:13.087565
-OJZDO9rdIWFbjPGUEGW,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,11:38:28.373082,new,2025-02-20,11:38:28.373100
-OJZDg_kJvq_lvwsJ7bl,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.79,2025-02-20,11:39:48.133981,new,2025-02-20,11:39:48.134005
-OJZDuUGeO6IuoSOUonz,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.80,2025-02-20,11:40:45.304010,new,2025-02-20,11:40:45.304028
-OJZE6M6E5ITW0MV3mbE,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.85,2025-02-20,11:41:38.004945,new,2025-02-20,11:41:38.004972
-OJZEIjFyCLAIknTOyNQ,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.74,2025-02-20,11:42:28.643855,new,2025-02-20,11:42:28.643877
-OJZEV0s9Va5vpOyMCqT,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.83,2025-02-20,11:43:19.095188,new,2025-02-20,11:43:19.095227
-OJZEgfm24NXDlMQIY9l,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.78,2025-02-20,11:44:10.925582,new,2025-02-20,11:44:10.925607
-OJZF2P2vAia6d8t-5qi,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.74,2025-02-20,11:45:43.732830,new,2025-02-20,11:45:43.732848
-OJZFNp2pyAWyM8I2Mda,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.75,2025-02-20,11:47:11.548669,new,2025-02-20,11:47:11.548683
-OJZF_CUhLkvfbs9vIDo,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.77,2025-02-20,11:48:02.433066,new,2025-02-20,11:48:02.433081
-OJZGWqq8jfKuZsZZyw0,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.77,2025-02-20,11:52:10.268491,new,2025-02-20,11:52:10.268529
-OJZGiJWSMvLEdMjWOG3,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.86,2025-02-20,11:53:01.899961,new,2025-02-20,11:53:01.899984
-OJZGve7vNrG2CNYAW-Q,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.71,2025-02-20,11:53:56.509139,new,2025-02-20,11:53:56.509154
-OJZH7mDTevwI-Mv_bfc,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,11:54:50.322194,new,2025-02-20,11:54:50.322217
-OJZHKA_mKcmSRawuvsi,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.71,2025-02-20,11:55:41.039190,new,2025-02-20,11:55:41.039209
-OJZHWkjeTk0HmT2A3oW,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,11:56:32.599920,new,2025-02-20,11:56:32.599931
-OJZHipMpKOCVoPQ-onv,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.71,2025-02-20,11:57:26.173312,new,2025-02-20,11:57:26.173337
-OJZHwSJi1Z5zsQaO6bu,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.74,2025-02-20,11:58:21.978290,new,2025-02-20,11:58:21.978313
-OJZI8vh-2oUC4fG1MjA,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.72,2025-02-20,11:59:17.171946,new,2025-02-20,11:59:17.171967
-OJZIXZRRdIH0FA_eJ_3,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,12:00:57.766673,new,2025-02-20,12:00:57.766688
-OJZIj0CXvPDsByai8P_,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.72,2025-02-20,12:01:48.931401,new,2025-02-20,12:01:48.931413
