epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.461,0.96469,1.28922,1.18344,0.81088,0.86669,0.90027,0.67926,0.92341,0.85864,1.18063,0.000553444,0.000553444,0.000553444
2,114.977,1.09086,0.99261,1.22822,0.67684,0.61319,0.71138,0.48888,1.2277,1.68942,1.41116,0.00109813,0.00109813,0.00109813
3,168.977,1.11543,0.98109,1.24915,0.78229,0.72762,0.81441,0.53935,1.18165,1.24206,1.38331,0.00163181,0.00163181,0.00163181
4,223.256,1.09164,0.95917,1.22921,0.82183,0.82571,0.88178,0.64015,1.01448,0.84823,1.21418,0.00161749,0.00161749,0.00161749
5,278.103,1.06666,0.88028,1.20156,0.88782,0.82501,0.88534,0.64585,0.98056,0.91085,1.18378,0.00160099,0.00160099,0.00160099
6,333.339,0.98686,0.81124,1.15699,0.88299,0.84704,0.90031,0.71239,0.85447,0.76362,1.09367,0.00158448,0.00158448,0.00158448
7,386.081,0.98603,0.77184,1.15498,0.91388,0.84828,0.94056,0.74683,0.82455,0.66685,1.05051,0.00156798,0.00156798,0.00156798
8,439.163,0.9526,0.73779,1.13754,0.92345,0.94117,0.96818,0.76612,0.82582,0.61584,1.04121,0.00155148,0.00155148,0.00155148
9,491.488,0.94739,0.69264,1.13427,0.89648,0.94948,0.96335,0.78033,0.80511,0.55927,1.02652,0.00153497,0.00153497,0.00153497
10,542.92,0.91341,0.71949,1.12266,0.94757,0.87766,0.97043,0.78449,0.77098,0.5492,1.01145,0.00151847,0.00151847,0.00151847
11,594.451,0.90094,0.64448,1.11064,0.93439,0.90373,0.95527,0.77598,0.76337,0.53476,1.03282,0.00150197,0.00150197,0.00150197
12,645.918,0.89076,0.65725,1.10791,0.90449,0.93995,0.96437,0.78234,0.78423,0.53255,1.03059,0.00148546,0.00148546,0.00148546
13,698.412,0.88244,0.62918,1.10099,0.94083,0.91802,0.96574,0.79043,0.73872,0.52837,1.00523,0.00146896,0.00146896,0.00146896
14,763.885,0.86151,0.60448,1.08784,0.95001,0.93671,0.97974,0.82265,0.71045,0.49261,0.97915,0.00145246,0.00145246,0.00145246
15,818.279,0.84924,0.59395,1.08017,0.91557,0.8979,0.9507,0.78164,0.74408,0.57366,1.0173,0.00143595,0.00143595,0.00143595
16,870.901,0.8686,0.60892,1.09508,0.9576,0.9231,0.97315,0.81335,0.71028,0.47959,0.98928,0.00141945,0.00141945,0.00141945
17,924.857,0.83114,0.57746,1.07075,0.93259,0.94154,0.98039,0.79859,0.73939,0.47844,1.00743,0.00140295,0.00140295,0.00140295
18,978.831,0.83133,0.56156,1.07974,0.93468,0.96158,0.98664,0.81724,0.69875,0.43177,0.98255,0.00138644,0.00138644,0.00138644
19,1032.55,0.80921,0.56407,1.05712,0.9702,0.92143,0.98186,0.82258,0.68426,0.43478,0.96589,0.00136994,0.00136994,0.00136994
20,1087.09,0.81825,0.56359,1.073,0.8972,0.93584,0.97248,0.80812,0.71754,0.48291,0.98197,0.00135344,0.00135344,0.00135344
21,1142.07,0.79725,0.5361,1.05602,0.95419,0.94057,0.97882,0.82371,0.68686,0.44329,0.97184,0.00133693,0.00133693,0.00133693
22,1194.3,0.77981,0.52789,1.04647,0.92404,0.94627,0.98156,0.81139,0.69505,0.43897,0.98734,0.00132043,0.00132043,0.00132043
23,1246.38,0.78921,0.52908,1.06108,0.95624,0.93386,0.98789,0.8293,0.67392,0.4302,0.95921,0.00130393,0.00130393,0.00130393
24,1298.77,0.78067,0.53825,1.05304,0.95244,0.9448,0.98474,0.83151,0.6809,0.42801,0.97033,0.00128742,0.00128742,0.00128742
25,1350.52,0.76588,0.52656,1.04932,0.94812,0.91744,0.97921,0.81992,0.68284,0.4607,0.97174,0.00127092,0.00127092,0.00127092
26,1403.04,0.7564,0.49747,1.03602,0.95471,0.93713,0.97952,0.82555,0.65472,0.42559,0.94842,0.00125442,0.00125442,0.00125442
27,1456.06,0.76,0.50329,1.03816,0.92452,0.97169,0.98532,0.83634,0.64676,0.39371,0.96217,0.00123791,0.00123791,0.00123791
28,1510.77,0.75323,0.49215,1.03816,0.96811,0.95285,0.98755,0.84398,0.67227,0.38334,0.9626,0.00122141,0.00122141,0.00122141
29,1565.67,0.77124,0.51502,1.04987,0.94461,0.93881,0.97625,0.82364,0.65955,0.42097,0.95815,0.00120491,0.00120491,0.00120491
30,1628.61,0.74641,0.48352,1.03287,0.96426,0.94506,0.98738,0.84926,0.65,0.39692,0.93534,0.0011884,0.0011884,0.0011884
31,1697.05,0.74744,0.47769,1.03715,0.95565,0.95233,0.97935,0.83264,0.66566,0.39547,0.96149,0.0011719,0.0011719,0.0011719
32,1761.81,0.75307,0.49553,1.03534,0.95077,0.96683,0.98841,0.84202,0.65794,0.383,0.9571,0.0011554,0.0011554,0.0011554
33,1823.27,0.72643,0.47318,1.02489,0.96719,0.93861,0.98675,0.84999,0.62861,0.40554,0.94069,0.00113889,0.00113889,0.00113889
34,1885.31,0.72143,0.46694,1.01807,0.94966,0.94158,0.98493,0.84478,0.64927,0.42046,0.94453,0.00112239,0.00112239,0.00112239
35,1953.64,0.73166,0.47611,1.02927,0.95133,0.94369,0.98318,0.84625,0.63154,0.37733,0.94886,0.00110589,0.00110589,0.00110589
36,2018.59,0.73665,0.47249,1.02444,0.95736,0.96155,0.98374,0.8494,0.62932,0.37663,0.94038,0.00108938,0.00108938,0.00108938
37,2084.25,0.71893,0.45118,1.02034,0.95047,0.9413,0.98545,0.8478,0.64321,0.37725,0.94496,0.00107288,0.00107288,0.00107288
38,2152.65,0.72201,0.4613,1.0257,0.96193,0.94253,0.9877,0.8514,0.6311,0.3591,0.93936,0.00105638,0.00105638,0.00105638
39,2219.42,0.70973,0.45595,1.01542,0.95516,0.96022,0.98807,0.85241,0.61176,0.38183,0.92329,0.00103987,0.00103987,0.00103987
40,2278.82,0.72138,0.45189,1.01986,0.95495,0.97558,0.99103,0.85509,0.60809,0.3358,0.92622,0.00102337,0.00102337,0.00102337
41,2343.48,0.70657,0.45004,1.01856,0.9472,0.96705,0.99046,0.85736,0.61159,0.35745,0.92623,0.00100687,0.00100687,0.00100687
42,2412.29,0.70596,0.44459,1.01325,0.95504,0.96755,0.99059,0.85516,0.61786,0.3475,0.93508,0.000990365,0.000990365,0.000990365
43,2478.07,0.68621,0.43145,1.00805,0.96247,0.96104,0.99088,0.8557,0.62759,0.36147,0.93811,0.000973861,0.000973861,0.000973861
44,2536.01,0.69288,0.44414,1.01417,0.93967,0.97305,0.99187,0.8608,0.62208,0.34857,0.93099,0.000957358,0.000957358,0.000957358
45,2602.47,0.6968,0.43603,1.01125,0.95954,0.9687,0.99103,0.85339,0.62413,0.35028,0.93406,0.000940855,0.000940855,0.000940855
46,2669.63,0.67644,0.4282,0.99638,0.94931,0.95828,0.99097,0.85789,0.62001,0.36843,0.93976,0.000924352,0.000924352,0.000924352
47,2725.59,0.68531,0.43341,1.0088,0.93928,0.96464,0.98935,0.85756,0.60556,0.35628,0.9257,0.000907848,0.000907848,0.000907848
48,2781.77,0.69507,0.42236,1.01083,0.97624,0.93138,0.98956,0.86446,0.60154,0.35336,0.92765,0.000891345,0.000891345,0.000891345
49,2838.36,0.67911,0.42421,1.00268,0.9443,0.97444,0.98906,0.85867,0.60076,0.33928,0.93048,0.000874842,0.000874842,0.000874842
50,2893.49,0.65957,0.40807,0.98976,0.98563,0.94999,0.99012,0.85967,0.61027,0.33802,0.92674,0.000858338,0.000858338,0.000858338
51,2948.02,0.66946,0.41389,1.00388,0.95055,0.96302,0.99043,0.85555,0.60897,0.33266,0.92942,0.000841835,0.000841835,0.000841835
52,3002.7,0.65976,0.40651,0.99374,0.96957,0.9465,0.98851,0.8709,0.59347,0.33565,0.91657,0.000825332,0.000825332,0.000825332
53,3056.27,0.66603,0.41302,0.99299,0.95074,0.97283,0.9905,0.86916,0.59592,0.33222,0.9244,0.000808828,0.000808828,0.000808828
54,3110.48,0.65791,0.40948,0.99618,0.95087,0.9621,0.98979,0.86675,0.61031,0.3447,0.9289,0.000792325,0.000792325,0.000792325
55,3165.42,0.66568,0.40223,0.99994,0.95552,0.96589,0.98753,0.8666,0.60107,0.3394,0.92638,0.000775822,0.000775822,0.000775822
56,3218.99,0.64907,0.40049,0.99255,0.96361,0.94908,0.98991,0.86714,0.61341,0.353,0.93429,0.000759318,0.000759318,0.000759318
57,3272.54,0.64647,0.39021,0.98414,0.95887,0.96558,0.98991,0.87222,0.58661,0.31898,0.92139,0.000742815,0.000742815,0.000742815
58,3327.14,0.64378,0.39185,0.98927,0.9639,0.96206,0.98961,0.86027,0.60294,0.32661,0.92873,0.000726312,0.000726312,0.000726312
59,3383.12,0.65032,0.38905,0.99352,0.96888,0.94174,0.98756,0.85221,0.61573,0.36039,0.94091,0.000709809,0.000709809,0.000709809
60,3437.73,0.63081,0.3932,0.98145,0.98213,0.95309,0.98905,0.86456,0.60285,0.32812,0.92679,0.000693305,0.000693305,0.000693305
61,3499.56,0.64635,0.39027,0.99509,0.96725,0.97728,0.99144,0.85929,0.60498,0.31876,0.92346,0.000676802,0.000676802,0.000676802
62,3551.92,0.6239,0.37208,0.98658,0.95721,0.96651,0.99079,0.87112,0.59912,0.32164,0.92508,0.000660299,0.000660299,0.000660299
63,3604.19,0.63779,0.37603,0.98911,0.96406,0.96168,0.99049,0.86336,0.59943,0.3249,0.9165,0.000643795,0.000643795,0.000643795
64,3658.67,0.6381,0.37463,0.98366,0.94901,0.97593,0.99165,0.87172,0.58319,0.31755,0.92243,0.000627292,0.000627292,0.000627292
65,3710.63,0.63015,0.37846,0.9846,0.94426,0.96775,0.99181,0.87034,0.59931,0.32893,0.9221,0.000610789,0.000610789,0.000610789
66,3762.23,0.61204,0.35893,0.97107,0.95045,0.97593,0.99146,0.87144,0.58703,0.30552,0.91549,0.000594286,0.000594286,0.000594286
67,3815.09,0.61514,0.37167,0.97559,0.94922,0.97121,0.99111,0.87027,0.59656,0.31504,0.92144,0.000577782,0.000577782,0.000577782
68,3872.13,0.61473,0.37061,0.97914,0.95821,0.97801,0.99046,0.87912,0.58654,0.30011,0.91887,0.000561279,0.000561279,0.000561279
69,3930.81,0.6169,0.36861,0.98086,0.9557,0.96535,0.99048,0.87325,0.5908,0.30488,0.91464,0.000544776,0.000544776,0.000544776
70,3983.57,0.61389,0.36441,0.98037,0.95686,0.97742,0.99073,0.87164,0.59267,0.31772,0.92102,0.000528272,0.000528272,0.000528272
